ID,Nome,Email,Categoria_Fidelidade
1,Ana Oliveira,ana.oli@email.com,Ouro
2,Bruno Santos,bruno.s@email.com,Bronze
3,Carla Souza,carla.souza@email.com,Prata
4,Daniel Lima,d.lima@email.com,Ouro
5,Eduarda Rocha,edu.rocha@email.com,Bronze
6,Fabio Melo,fabio.m@email.com,Prata
7,Gabriel Costa,gabriel.c@email.com,Ouro
8,Helena Martins,helena.m@email.com,Prata
9,Igor Ferreira,igor.f@email.com,Bronze
10,Julia Almeida,julia.a@email.com,Ouro
11,Kevin Silva,kevin.s@email.com,Bronze
12,Larissa Gomes,larissa.g@email.com,Prata
13,Marcos Pereira,marcos.p@email.com,Ouro
14,Natalia Rodrigues,natalia.r@email.com,Prata
15,Otavio Nunes,otavio.n@email.com,Bronze
16,Paula Vizotto,paula.v@email.com,Ouro
17,Quiteria Lins,quiteria.l@email.com,Bronze
18,Ricardo Alves,ricardo.a@email.com,Prata
19,Sabrina Paiva,sabrina.p@email.com,Ouro
20,Tiago Mendes,tiago.m@email.com,Prata
21,Uriel Souza,uriel.s@email.com,Bronze
22,Vanessa Dias,vanessa.d@email.com,Ouro
23,Wagner Lopes,wagner.l@email.com,Bronze
24,Xavier Cruz,xavier.c@email.com,Prata
25,Yara Farias,yara.f@email.com,Ouro
26,Zeca Pagodinho,zeca.p@email.com,Prata
27,Aline Barros,aline.b@email.com,Bronze
28,Beto Carreiro,beto.c@email.com,Ouro
29,Cintia Luz,cintia.l@email.com,Prata
30,Diego Souza,diego.s@email.com,Bronze
